vendor_name,vendor_url,product_name,product_url
"BobCAD-CAM, Inc.",bobcad.com,BobCAD-CAM V33,https://bobcad.com/products/whats-new-in-bobcad-cam-version-33/?
"Bentley Systems, Inc.",bentley.com,OpenFlows WaterCAD,https://www.bentley.com/software/openflows-water/
SalesBabu Business Solutions Pvt Ltd,salesbabu.com,SalesBabu CRM,https://www.salesbabu.com/crm/
"ADP, Inc.",adp.com,ADP Next Gen HCM,https://www.adp.com/-/media/adp/resourcehub/pdf/josh-bersin-article-next-gen-hcm.pdf?
"Deposco, Inc.",deposco.com,Deposco Bright Suite,https://deposco.com/resources/product-brochures/bright-suite/
"Kallidus, Ltd.",kallidus.com,Kallidus Sapling,https://www.kallidus.com/product/onboarding/
Avatier Corporation,avatier.com,Avatier Identity Anywhere,https://www.avatier.com/products/
Accenture PLC,accenture.com,Accenture Insights Platform (AIP+),https://www.accenture.com/content/dam/accenture/final/a-com-migration/pdf/pdf-148/accenture-aip4health.pdf
"Toast, Inc.",toasttab.com,Toast Now,https://pos.toasttab.com/products/toast-now?
"CDNetworks, Inc.",cdnetworks.com,CDNetworks CDN,https://www.cdnetworks.com/products/cdnpro/
Talisma Corporation Pvt Ltd,talisma.com,Talisma CX Social,https://talisma.com/cx-social-crm/
Oracle Corporation,oracle.com,Oracle IoT Cloud Service,https://docs.oracle.com/en/cloud/paas/iot-cloud/
"Clear Skye, Inc.",clearskye.com,Clear Skye IGA,https://clearskye.com/products/clear-skye-iga
"TrueConf, LLC",trueconf.com,TrueConf Server,https://trueconf.com/products/server/video-conferencing-server.html
"Aderant Holdings, Inc.",aderant.com,Aderant Drive,https://www.aderant.com/solutions-drive/
"NEOGOV, Inc.",neogov.com,NEOGOV Manage,https://www.neogov.com/hubfs/Docs/NEOED-Module-Manage-Spreads.pdf
"Nextiva, Inc.",nextiva.com,Nextiva Customer Experience,https://www.nextiva.com/products/customer-experience
Vero Holdings Australia Pty Ltd,getvero.com,Vero Cloud,https://www.getvero.com/resources/meet-cloud-and-connect/
"Fortra, LLC",fortra.com,Agari Active Defense,https://static.fortra.com/agari/pdfs/solution-brief/ag-active-defense-sb.pdf
"HazelTree Fund Services, Inc.",hazeltree.com,Hazeltree zTreasury,https://fintechmagazine.com/company-reports/hazeltree-treasury-and-liquidity-management-platform
"Deskera US, Inc.",deskera.com,Deskera MRP,https://www.deskera.com/in/mrp
"Mu Sigma, Inc.",mu-sigma.com,Mu Sigma muHPC,https://www.hpcuserforum.com/presentations/boston2013/MuSigmaHPCUserForum.pdf
Gravyty,gravyty.com,Advance from Gravyty,https://gravyty.com/advance/
"AudioCodes, Ltd.",audiocodes.com,AudioCodes Live CX,https://livecx.audiocodes.com/
"Huawei Technologies Company, Ltd.",huawei.com,Huawei Cloud Eye,https://www.huaweicloud.com/intl/en-us/product/ces.html
"Tradeshift, Inc.",tradeshift.com,Tradeshift Engage,https://tradeshift.com/resources/press/tradeshift-engage-accelerates-full-supply-chain-digitization-with-seller-focused-incentives/
"PhaseWare, Inc.",phaseware.com,PhaseWare Tracker,https://www.phaseware.com/products/
"Hypori, Inc.",hypori.com,Hypori Halo,https://www.hypori.com/news-and-media/hypori-series-b-2023
TELUS Health,telus.com,Adaptris Integration Platform,https://www.adaptris.com/adaptris-platform/
"Mothernode, LLC",mothernode.com,Mothernode CRM,https://www.mothernode.com/mothernode-crm-2/
"Tata Consultancy Services, Ltd.",tcs.com,TCS MasterCraft TransformPlus,https://www.tcs.com/who-we-are/newsroom/press-release/new-release-mastercraft-transformplus-5-0-ml-legacy-application-modernization
PRAXEDO,praxedo.com,Praxedo Mobile,https://www.praxedo.co.uk/product-tour/always-connected-with-the-mobile-app/
Oracle Corporation,oracle.com,Oracle Big Data SQL Cloud Service,https://www.oracle.com/a/ocom/docs/BDSQL-CS-Datasheet.pdf
Finastra,finastra.com,Finastra Fusion Digital Banking,https://www.finastra.com/solutions/fusion-digital-banking-consumer
Accelya Holding World S.L.,accelya.com,Accelya CRIS,https://www.scribd.com/document/441414762/Aviation-Software-Overview
Toshiba Corporation,toshiba.com,Toshiba IPedge,https://toshibaphonesupport.com/toshiba-ipedge-phone-systems/
Entrust Corporation,entrust.com,Entrust Identity Enterprise,https://www.entrust.com/products/iam/identity-enterprise
"DTEN, Inc.",dten.com,DTEN ON Series,https://www.dten.com/products/on/?
ProgeSOFT SA,progesoft.com,progeCAD 2010 Professional,https://progecad.us/progecad-professional/
Nexthink S.A.,nexthink.com,Nexthink Adopt,https://nexthink.com/platform/adopt
"Check Point Software Technologies, Ltd.",checkpoint.com,Check Point Quantum Edge,https://www.checkpoint.com/quantum/edge-branch-virtual-security-gateway/
dataglobal Bochum GmbH,dataglobalgroup.com,windream 7,https://www.windream.com/en/aktuelles/news/newsbeitrag/show/windream-7-available-now
"Tradeshift, Inc.",tradeshift.com,Tradeshift Buy,https://support.tradeshift.com/knowledgebase/article/8380485333394
WoodWing Software B.V.,woodwing.com,WoodWing Assets 10,https://www.woodwing.com/products/woodwing-assets-10
"JuliusWorks, Inc.",juliusworks.com,Julius,https://www.juliusworks.com
"A10 Networks, Inc.",a10networks.com,A10 Networks AX Series,https://www.a10networks.com/wp-content/uploads/A10_DG_Unified_Access_Gateway.pdf
"AudioCodes, Ltd.",audiocodes.com,AudioCodes Meeting Insights,https://www.audiocodes.com/solutions-products/voiceai/meetings-and-recording/meeting-insights
"Ooma, Inc.",ooma.com,Ooma Enterprise,https://www.ooma.com/enterprise-communications/faqs/what-is-ooma-enterprise/?
"OpenClinica, LLC",openclinica.com,OpenClinica Enterprise,https://www.openclinica.com/wp-content/uploads/OpenClinica-Enterprise-Edition.pdf
Billtrust,billtrust.com,Billtrust eCommerce,https://www.billtrust.com/resources/solution-guides/b2b-ecommerce-solution
"Velaro, Inc.",velaro.com,Velaro Live Chat,https://velaro.com/product/live-chat
"Lexmark International, Inc.",lexmark.com,Lexmark X,https://www.lexmark.com/en_in/printers/printer/4259/Lexmark-X560n
AudienceView Ticketing Corporation,audienceview.com,AudienceView Campus,https://audienceview.com/campus/
"Apriva, LLC",apriva.com,Apriva ISS,https://iss.apriva.com/
"SmartBear Software, Inc.",smartbear.com,SwaggerHub Explore,https://swagger.io/api-hub/explore/
Medsphere Systems Corporation,medsphere.com,Medsphere OpenVista,https://www.medsphere.com/blog/medsphere-introduces-openvista-noteassist-to-transform-clinical/
"DSG, Inc.",dsg-us.com,eCaselink EDC,http://dsg-us.com/dsg-ecaselink-edc.html
"Vertafore, Inc.",vertafore.com,Sircon for Agencies & Firms,https://www.sircon.com/products/agencies/index.jsp
"AudioCodes, Ltd.",audiocodes.com,VoiceAI Connect,https://www.audiocodes.com/solutions-products/voiceai/voiceai-connect
"Ennov, Inc.",ennov.com,Ennov Quality,https://en.ennov.com/solutions/quality/
SecureAuth Corporation,secureauth.com,Arculix by SecureAuth,https://docs.secureauth.com/arculix/en/arculix-by-secureauth-overview.html
"Stratio Big Data, Inc.",stratio.com,Stratio,https://stratioautomotive.com
"MedWorxs, LLC",medworxs.com,MedWorxs Evolution,https://www.medicalrecords.com/mrcbase/emr/medworxs-evolution?utm_source=chatgpt.com
Typeform S.L.,typeform.com,Typeform Formless,https://formless.ai/
"ArangoDB, Inc.",arangodb.com,ArangoDB Oasis,https://arangodb.com/2019/11/arangodb-oasis-a-fully-managed-multi-model-database-service/
PointOS,pointos.com,PointOS Professional,https://oprod.pointos.com/help/helpbody.cfm?num=1&m=1
"Encite, Inc.",encite.us,Encite EHR,https://www.encite.us/electronic-health-records
Airtable,airtable.com,Airtable ProductCentral,https://www.airtable.com/solutions/product
"OpenPro, Inc.",openpro.com,OpenPro CRM Software,https://openpro.com/crm/
