Category,Subcategory,Granular Category,Definition,,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Collaboration > Team Collaborative Applications,"Team Collaboration Applications are digital platforms that provide a centralized hub for communication, project management, file sharing, and real-time collaboration. These applications streamline workflows, foster communication, and facilitate remote work.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Collaboration > Email,Email is a digital communication software for sending and receiving messages electronically.,,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Collaboration > Conferencing Applications,"Conferencing applications are software that enables real-time communication and collaboration between individuals or groups. They offer features like video conferencing, screen sharing, and instant messaging, facilitating remote meetings, presentations, and discussions.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Collaboration > File Synchronization and Sharing Software,"File Synchronization and Sharing Software is designed to facilitate seamless collaboration and data accessibility across diverse devices and platforms. It automatically synchronizes files, ensuring consistency and up-to-date versions across multiple locations.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Collaboration > Enterprise Mobility Management,"Enterprise Mobility Management (EMM) is software that enables organizations to manage and secure mobile devices within the corporate environment. It allows businesses to maintain centralized control over device deployment, configuration, monitoring, and security, to ensure data protection, compliance, and productivity.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Commerce Applications,"Commerce Application is used by the enterprises for the management of their e-commerce activities. This software provide support for Catalog Management, E-Merchandising, Payment Gateway, Subscription Management, Product Information Management and Shopping Cart.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Content Management and Creation > Authoring and Publishing Software,"Authoring and Publishing Software is a suite of tools used to create, edit, and distribute content. It provides a platform for writing, formatting, and designing documents, presentations, and other digital media.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,"Content Management and Creation > Content Analytics, and Discovery Software","Content Analytics and Discovery Software is a tool for analyzing and interpreting data related to digital content performance. It tracks views, engagement, and sharing metrics to provide insights into audience preferences and content effectiveness.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Content Management and Creation > Content Management,"Content Management Software (CMS) is a centralized platform for storing, organizing, and editing digital content. It helps businesses manage their websites, blogs, and other digital assets, ensuring consistent branding and timely updates.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Engineering Applications,"Engineering Applications software is used for the management of specific activities related to ideas generation and management, concept development and the handoff of a design to execution. Typical Engineering applications include CAD, CAM and BIM software’s.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Enterprise Asset Management,"Enterprise Asset Management software is used for the management of asset and maintenance, repair, and overhaul (MRO) operations of an organization.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Enterprise Resource Planning Applications,"Enterprise Resource Planning (ERP) software is a comprehensive suite of integrated applications designed to manage an organization's core business processes. It centralizes, automates, and optimizes processes and data across various resources including people, finances, capital, materials, and facilities resulting in comprehensive and consolidated business analysis, forecasting, and reporting for executive decision makers. Typical ERP systems include ERP planning, financial management, HCM, supply chain, CRM, manufacturing PLC, distribution, sourcing and procurement and project and portfolio management.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Enterprise Resource Planning Applications > Financial Applications,"Financial Applications are used for the management of accounting and financial functions. Typical Financial Applications includes Accounting software’s, corporate performance management (SCPM) solutions.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Enterprise Resource Planning Applications > Human Capital Management,"Human Capital Management applications are used for the management of people.  These applications support Personnel administration, Payroll, Workforce planning, Time and expense management, Learning, Recruitment, Onboarding, etc. functions of an enterprise.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Enterprise Resource Planning Applications > Supply Chain Management Applications,"Supply chain management applications supports the flow of product from production to the final customer. Functions supported include Logistics, Production Planning and Inventory Management, etc.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Enterprise Resource Planning Applications > Customer Relationship Management Applications,"Customer Relationship Management Applications are used for the management of interaction with providers and customers. Functions supported include Customer Service, Contact Center.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Enterprise Resource Planning Applications > Manufacturing Product Life Cycle Management,"Manufacturing Product Life Cycle Management applications supports the management of entire lifecycle of a product from inception, through engineering, design and manufacturing to disposal of product. Functions supported include Services Operations Management, Material requirement planning, Bills of Material (BOM), manufacturing process planning and simulation, manufacturing execution (MES) and other back office functions of a manufacturing enterprise.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Enterprise Resource Planning Applications > Distribution Management,"Distribution management applications are used to plan and deploy resources across different locations of an enterprise. Distribution management software’s collect, organize, display and analyze the distribution data and operations. Distribution management applications can be are integrated with other software’s like GIS, CRM for a wider view of distribution operations.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Enterprise Resource Planning Applications > Sourcing and Procurement,"Sourcing and Procurement automates business process related to purchasing material. Functions supported include supplier selection, supplier performance analysis, eProcurement, Contract management, Spending analysis, Strategic sourcing, Contract management, tracking, enforcement, etc.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Enterprise Resource Planning Applications > Project and Portfolio Management,"Project and Portfolio Management are used for managing a project and it supports the various stages of the project management. Project management functions supported include project initiation, project planning/scheduling, resource allocation, monitoring, and measuring of activities and resources.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Industry Specific Applications,Industry Specific Applications software perform supports tasks or functions which are specific to an industry. The software cannot be used by a different industry. For example a Core banking application can only be used by banking industry and cannot be used by another industry.,,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Office Productivity Applications and Suites,"The software is used to produce information, such as documents, presentations, worksheets, databases, charts, graphs, digital paintings, electronic music and digital video.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Performance Management and Analytic Applications,"Performance Management & Analytic Applications software is used to measure, analyze, and optimize performance management processes.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Sales and Marketing > Sales,"Sales Management software’s supports all the stages in a sales process. Typical activities supported include Account/contact management, sales lead tracking, list management, sales forecasting, etc.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Sales and Marketing > Marketing,"Marketing Management software’s supports all stages in marketing process. Typical activities supported include Ad management, campaign management, database marketing, brand management, direct marketing, digital marketing, web advertising, Media and analyst relations, marketing resource management, etc.",,,,,,,,,,,,,,,,,,,,,,
Software,Enterprise Applications,Spatial Information Management,"Spatial Information Management software (also called as Geographic information systems (GIS)) is designed to capture, store, map, manipulate, manage, analyze and display the Geographical or spatial data.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Client Computing,Computing Device > Desktop,"A desktop computer is a personal computer designed for regular use at a single location and to fit on top of or near a typical office desk to accommodate size and power requirements. The most common configuration includes a processor unit that houses the power supply, motherboard, memory, and disk storage, along with a display monitor and keyboard and mouse input devices.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Client Computing,Computing Device > Handheld,"A handheld computing device is a small, portable computer that you can hold in your hand and is designed for easy use and mobility. These devices often have a touchscreen interface and run on a mobile operating system. Examples include tablets, martphones, and PDAs.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Client Computing,Computing Device > Notebooks / Laptops,"A laptop/notebook computer, is a small, portable personal computer with a clamshell form factor and powered with a rechargeable battery or AC power adaptor. It is typically equipped with a thin LCD or LED computer screen mounted on the inside of the upper lid of the clamshell and an alphanumeric keyboard on the inside of the lower lid.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Client Computing,Computing Device > Servers,"Servers are computers that provide services to other computers on a network. A server can be a physical machine or a virtual machine running on a physical server. Servers can perform various functions, including file serving, print serving, application serving, database serving, web serving and email serving.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Client Computing,Computing Device > Thin Clients,"Thin clients are lightweight devices with limited processing power and storage that rely on a central server to perform most of their computational tasks. These devices are characterized by minimal hardware, high network dependency, and use of remote desktop protocols (such as RDP or VNC) to connect to a server and access its resources.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Client Computing,Computing Device > Workstations,"Workstations are high-performance computers that require significant processing power, memory, and storage. They are often used in fields such as engineering, design, scientific research, and video editing.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Client Computing,Computing Device > Unclassified Computing Device,"Unclassified computing devices are any other type of electronic device capable of performing calculations and processing data. They can receive information, manipulate or analyze data, display or deliver results, and store data.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Client Computing,Peripherals > Display Device,"A display device is an electronic device that presents images, text, or other data on a screen.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Client Computing,Peripherals > Scanning and Imaging,Scanning and imaging peripherals are devices used to capture and convert visual information into a digital format.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Client Computing,Peripherals > Print Device,A print device is a peripheral that accepts text and graphic output from a computer and transfers the information to paper to produce a physical version of an electronic document.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Client Computing,Peripherals > Sound / Audio Device,"A sound/audio device is a hardware component capable of producing, recording, or reproducing sound. Examples include speakers, microphones, headphones, and audio interfaces.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Client Computing,Peripherals > Unclassified Peripheral,"A peripheral device is a hardware component that is external to a computer system used to input data, output information, or store data.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Client Computing,Components,Components are uniquely identifiable parts of a computing device. Many components make up a single computing device.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Bridges,"Bridges are devices that connect networks together, extending the reach of a network and allowing communication between devices on different networks.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Concentrators,Concentrators are devices that combine multiple data streams into a single stream for transmission over a single channel. Their purpose is to reduce the number of cables required and improve network efficiency.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Gateways,Gateways are devices that interconnect networks with different network protocol technologies by performing the required protocol conversions. The activities of a gateway are more complex than that of the router or switch because it communicates using more than one protocol.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Private Switch,A private switch is a type of network switch used within a private network that provides switching capabilities for internal communication and data transfer between devices within the network.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Modems,"A modem is a device that modulates and demodulates data signals, allowing communication over a physical medium such as a telephone line or cable connection. It is primarily used to connect computers to the internet.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Routers,"Routers are network devices that forward data packets between networks, connect multiple networks together, and route traffic efficiently.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Wireless Access Points,"Wireless access points (WAPs) are devices that provide wireless network connectivity. They transmit and receive data signals, allowing digital devices to connect to the internet wirelessly.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Voice / Multimedia Device > Mobile,"Mobile devices are portable and generally wireless electronic devices such as smartphones, tablets, and laptops.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Voice / Multimedia Device > Fixed,"Fixed multimedia/voice devices are devices that are designed to be used in a stationary location. Examples include landline phones, desktop computers, and home theater systems.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Unclassified,Unclassified refers to technology that is waiting to be assigned by HG or falls outside the standard taxonomy classifications.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Telecommunication Equipment > Public Switching Equipment > Analogue,Analogue public switching equipment is a type of telecommunications equipment that uses continuously varying physical quantities (such as voltage or sound waves) to connect telephone lines together.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Telecommunication Equipment > Public Switching Equipment > Digital,"Digital public switching equipment is a type of telecommunications equipment used to connect telephone lines. It uses digital technology to represent and transmit data, allowing for higher-quality, efficiency, and versatile communication.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Telecommunication Equipment > Transmission Equipment > Radio,"Radio transmission equipment is hardware used to transmit and receive radio waves. Examples include components such as transmitters, receivers, antennas, and modulation/demodulation circuits.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Telecommunication Equipment > Transmission Equipment > Fixed,"Fixed transmission equipment is hardware designed for stationary use, such as infrastructure like telecommunications networks.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Telecommunication Equipment > Transmission Equipment > Satellite,"Satellite transmission equipment is hardware used to transmit and receive data signals via satellites orbiting the Earth. It includes satellite dishes, antennas, modems, and amplifiers.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Security,Security Appliances > Content Filtering and Antispam Appliances,"Content filtering and antispam appliances are devices that examine network traffic to identify and block harmful or unwanted content, such as malware, viruses, and spam.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Security,Security Appliances > Encryption and SSL Accelerators,"Encryption and SSL Accelerators are security measures used to protect sensitive information. Encryption refers to the conversion of data into code, making it unreadable. SSL (Secure Socket Layer) Accelerators are hardware devices designed to offload the computationally intensive tasks of SSL/TLS encryption and decryption from the server's CPU.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Security,Security Appliances > Firewall Appliance,"A firewall appliance is a hardware device that protects networks from unauthorized access, prevents cyberattacks, and safeguards data. It monitors incoming and outgoing network traffic, filters out malicious activity, and enforces security policies.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Security,Security Appliances > Physical Security Devices,"Physical Security Devices are security hardware used to monitor and control access to systems and locations. Examples include card readers, biometric scanners, surveillance cameras, and alarm systems which are designed to safeguard property and personnel.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Server Computing,High End Servers,High end servers are generally used in centralized computing environments and are located within the data center and ranges from few terabytes to hundreds of terabytes. These servers ensure higher system availability via mirroring of cache and disk and offer higher level of data protection.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Server Computing,Mid Range Servers,Mid-range servers are used in distributed computing environments and offers RAID protection and replication. This commodity hardware is best suited for discrete applications and offers relatively lower system availability compared to high end servers.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Storage,Direct Attached Storage,Direct attached storage devices are directly attached to the computer or a server. For ex- Internal hard drive.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Storage,Network Attached Storage,Network attached storage devices are connected to computers or servers on a network and provide additional storage space for the computers or servers.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Storage,Storage Area Networks,Storage area network is a high speed network of storage devices connected to the servers. SAN provides block level data storage.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Storage,Tape Systems,"Tape systems are storage devices that read and write data on a magnetic tape. These storage devices are used for offline, backup or archival data storage.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Storage,Unclassified Storage,"Storage systems which are not classified as Direct attached storage, NAS, SAN or tap systems.",,,,,,,,,,,,,,,,,,,,,,
Services,Application Led Outsourcing,Application Development and Maintenance > One-time Activity,"Application Development and Maintenance (ADM) encompasses the entire lifecycle of software applications, from inception to ongoing customer support. It includes developing custom solutions to solve a specific business need, modifying existing applications to adapt to evolving requirements, and improving applications to correct errors and ensure optimal performance and security through proactive maintenance.",,,,,,,,,,,,,,,,,,,,,,
Services,Application Led Outsourcing,Application Hosting > Ongoing Activity,"Application Hosting is the storage, running, and management of applications on remote servers owned either by the enterprise or a service provider. This service provides the necessary infrastructure, including hardware, software, and network connectivity, to ensure applications are accessible and functional including support, maintenance, guaranteed uptime, backups, performance tuning, and updates.",,,,,,,,,,,,,,,,,,,,,,
Services,Application Led Outsourcing,Application Management > Ongoing Activity,"Application Management is the day-to-day management, support, planning, and maintenance of custom or packaged software applications licensed by the customer.  It involves activities like performance monitoring, incident management, change management, availability, and security.",,,,,,,,,,,,,,,,,,,,,,
Services,Application Led Outsourcing,Application Testing/Quality Management > One-time Activity,"A service providers responsibilities include the validation and testing of new, existing or modified application(s). Testing ensures that the software application meets the business and technical requirements of the client. The service provider will test the application for security, operability and durability.",,,,,,,,,,,,,,,,,,,,,,
Services,Infrastructure Led Outsourcing,Infrastructure Management > Ongoing Activity,"Providing services for the continued management, operation, and availability of an organization’s IT infrastructure, consisting of hardware; software and network resources. The infrastructure is remotely managed and the performance is measured against agreed service level agreements.",,,,,,,,,,,,,,,,,,,,,,
Services,Infrastructure Led Outsourcing,Infrastructure Hosting > Ongoing Activity,"A service provider will host in its own data centers, a customer’s own assets or rent to a customer, servers, mainframes, storage, and network devices, providing associated disaster recovery; network; and security services.",,,,,,,,,,,,,,,,,,,,,,
